time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1976-12-31T23:19:58.400Z,-3.896,127.848,33,5.3,mb,,,,,us,usp0000m0h,2014-11-06T23:21:39.172Z,"Seram, Indonesia",earthquake,,,,,reviewed,us,us
1976-12-31T21:52:05.200Z,31.249,142.25,33,4.8,mb,,,,,us,usp0000m0g,2014-11-06T23:21:39.171Z,"Izu Islands, Japan region",earthquake,,,,,reviewed,us,us
1976-12-31T21:10:33.500Z,31.281,54.515,62,4.4,mb,,,,,us,usp0000m0f,2014-11-06T23:21:39.169Z,"central Iran",earthquake,,,,,reviewed,us,us
1976-12-31T21:09:59.400Z,-2.509,135.764,33,5.4,mb,,,,,us,usp0000m0e,2014-11-06T23:21:39.169Z,"near the north coast of Papua, Indonesia",earthquake,,,,,reviewed,us,us
1976-12-31T16:32:50.300Z,18.267,-68.858,85,5.1,mb,,,,,us,usp0000m0d,2014-11-06T23:21:39.168Z,"Mona Passage",earthquake,,,,,reviewed,us,us
1976-12-31T09:17:06.600Z,42.592,143.172,107,5.2,mb,,,,,us,usp0000m0b,2014-11-06T23:21:39.166Z,"Hokkaido, Japan region",earthquake,,,,,reviewed,us,us
1976-12-31T00:39:57.000Z,37.916,22.908,54,4.5,mb,,,,,us,usp0000m09,2014-11-06T23:21:39.164Z,"southern Greece",earthquake,,,,,reviewed,us,us
1976-12-30T22:23:57.900Z,11.79,143.234,33,5.2,mb,,,,,us,usp0000m07,2014-11-06T23:21:39.163Z,"south of the Mariana Islands",earthquake,,,,,reviewed,us,us
1976-12-30T22:02:26.000Z,48.21,154.504,41,5.2,mb,,,,,us,usp0000m06,2014-11-06T23:21:39.162Z,"Kuril Islands",earthquake,,,,,reviewed,us,us
1976-12-30T20:01:12.400Z,12.318,143.957,22,5.3,mb,,,,,us,usp0000m05,2014-11-06T23:21:39.161Z,"Guam region",earthquake,,,,,reviewed,us,us
1976-12-30T19:24:00.500Z,8.716,-71.111,19,4.7,mb,,,,,us,usp0000m04,2014-11-06T23:21:39.160Z,"Merida, Venezuela",earthquake,,,,,reviewed,us,us
1976-12-30T18:26:30.200Z,12.307,143.975,31,5.4,mb,,,,,us,usp0000m03,2015-05-13T18:53:13.000Z,"Guam region",earthquake,,,,,reviewed,us,us
1976-12-30T15:12:37.900Z,37.907,22.815,34,4.7,mb,,,,,us,usp0000m02,2014-11-06T23:21:39.158Z,"southern Greece",earthquake,,,,,reviewed,us,us
1976-12-30T13:09:41.700Z,-25.222,179.647,501,5.1,mb,,,,,us,usp0000m01,2014-11-06T23:21:39.158Z,"south of the Fiji Islands",earthquake,,,,,reviewed,us,us
1976-12-30T06:37:46.100Z,34.611,22.945,33,4,mb,,,,,us,usp0000kzz,2014-11-06T23:21:39.156Z,"central Mediterranean Sea",earthquake,,,,,reviewed,us,us
1976-12-30T05:21:58.100Z,51.276,159.354,24,4.8,mb,,,,,us,usp0000kzy,2014-11-06T23:21:39.155Z,"off the east coast of the Kamchatka Peninsula, Russia",earthquake,,,,,reviewed,us,us
1976-12-30T03:56:57.500Z,49.8,78.136,0,5.1,mb,,,,,us,usp0000kzx,2015-06-16T17:21:36.376Z,"eastern Kazakhstan",nuclear explosion,,,,,reviewed,us,us
1976-12-30T03:46:29.500Z,25.688,129.572,33,4.7,mb,,,,,us,usp0000kzw,2014-11-06T23:21:39.153Z,"southeast of the Ryukyu Islands, Japan",earthquake,,,,,reviewed,us,us
1976-12-29T22:10:07.400Z,-56.133,-27.775,133,4.6,mb,,,,,us,usp0000kzv,2014-11-06T23:21:39.153Z,"South Sandwich Islands region",earthquake,,,,,reviewed,us,us
1976-12-29T20:52:36.600Z,-19.54,-177.863,602,4.7,mb,,,,,us,usp0000kzu,2014-11-06T23:21:39.151Z,"Fiji region",earthquake,,,,,reviewed,us,us
1976-12-29T20:23:45.600Z,41.053,18.912,10,4.3,ml,,,,,us,usp0000kzt,2014-11-06T23:21:39.150Z,"Adriatic Sea",earthquake,,,,,reviewed,us,ath
1976-12-29T18:46:19.400Z,-1.876,120.316,38,5.2,mb,,,,,us,usp0000kzr,2014-11-06T23:21:39.148Z,"Sulawesi, Indonesia",earthquake,,,,,reviewed,us,us
1976-12-29T18:30:15.700Z,42.77,143.676,98,4.6,mb,,,,,us,usp0000kzq,2014-11-06T23:21:39.147Z,"Hokkaido, Japan region",earthquake,,,,,reviewed,us,us
1976-12-29T15:29:53.200Z,-13.59,173.714,33,4.6,mb,,,,,us,usp0000kzp,2014-11-06T23:21:39.146Z,"Fiji region",earthquake,,,,,reviewed,us,us
1976-12-29T14:36:49.500Z,36.704,139.024,147,5.4,mb,,,,,us,usp0000kzn,2015-05-13T18:53:13.000Z,"eastern Honshu, Japan",earthquake,,,,,reviewed,us,us
1976-12-29T13:19:44.700Z,-30.333,-71.333,59,5.1,mb,,,,,us,usp0000kzm,2014-11-06T23:21:39.144Z,"Coquimbo, Chile",earthquake,,,,,reviewed,us,us
1976-12-29T08:04:35.300Z,-12.908,168.95,630,4.2,mb,,,,,us,usp0000kzh,2014-11-06T23:21:39.141Z,"Santa Cruz Islands region",earthquake,,,,,reviewed,us,us
1976-12-29T08:03:43.200Z,43.438,-126.785,15,5,mb,,,,,us,usp0000kzg,2014-11-06T23:21:39.140Z,"off the coast of Oregon",earthquake,,,,,reviewed,us,us
1976-12-29T06:10:34.900Z,0.296,123.413,244,4.3,mb,,,,,us,usp0000kze,2014-11-06T23:21:39.138Z,"Minahasa, Sulawesi, Indonesia",earthquake,,,,,reviewed,us,us
1976-12-28T20:29:26.000Z,37.1,-116.036,0,4.4,mb,,,,,us,usp0000kzc,2014-11-06T23:21:39.136Z,"Nevada",mine collapse,,,,,reviewed,us,us
1976-12-28T20:16:28.200Z,-25.578,179.814,491,4.6,mb,,,,,us,usp0000kzb,2014-11-06T23:21:39.135Z,"south of the Fiji Islands",earthquake,,,,,reviewed,us,us
1976-12-28T18:00:00.070Z,37.1005,-116.0365,0.01,5.13,ml,20,264,1.755,0.67,ci,ci12328591,2016-01-29T21:13:11.440Z,"67km ENE of Beatty, NV",nuclear explosion,99,31.61,0.194,17,reviewed,ci,ci
1976-12-28T17:55:11.800Z,39.294,43.508,27,4.4,mb,,,,,us,usp0000kz7,2020-08-26T01:18:28.761Z,"eastern Turkey",earthquake,,,,,reviewed,us,us
1976-12-28T16:44:23.000Z,32.608,142.345,33,5.3,mb,,,,,us,usp0000kz6,2014-11-06T23:21:39.131Z,"Izu Islands, Japan region",earthquake,,,,,reviewed,us,us
1976-12-28T13:51:56.900Z,-21.144,-68.588,89,5.8,mb,,,,,us,usp0000kz5,2020-08-26T01:18:17.114Z,"Antofagasta, Chile",earthquake,,,,,reviewed,us,us
1976-12-28T11:47:17.600Z,36.629,70.965,223,4.7,mb,,,,,us,usp0000kz4,2014-11-06T23:21:39.130Z,"Hindu Kush region, Afghanistan",earthquake,,,,,reviewed,us,us
1976-12-28T02:57:38.200Z,22.139,-63.488,33,5.2,mb,,,,,us,usp0000kz2,2014-11-06T23:21:39.129Z,"North Atlantic Ocean",earthquake,,,,,reviewed,us,us
1976-12-28T01:10:45.700Z,-2.166,133.981,33,4.4,mb,,,,,us,usp0000kz0,2014-11-06T23:21:39.127Z,"Papua, Indonesia",earthquake,,,,,reviewed,us,us
1976-12-27T20:24:09.600Z,-8.635,110.976,86,4.4,mb,,,,,us,usp0000kyz,2014-11-06T23:21:39.127Z,"Java, Indonesia",earthquake,,,,,reviewed,us,us
1976-12-27T18:08:16.600Z,42.311,144.704,60,5,mb,,,,,us,usp0000kyy,2014-11-06T23:21:39.126Z,"Hokkaido, Japan region",earthquake,,,,,reviewed,us,us
1976-12-27T16:14:26.100Z,6.137,126.726,107,5,mb,,,,,us,usp0000kyx,2014-11-06T23:21:39.125Z,"Mindanao, Philippines",earthquake,,,,,reviewed,us,us
1976-12-27T13:23:29.800Z,-4.45,152.786,48,4.8,mb,,,,,us,usp0000kyu,2014-11-06T23:21:39.123Z,"New Britain region, Papua New Guinea",earthquake,,,,,reviewed,us,us
1976-12-27T07:54:13.300Z,39.134,20.561,32,4.9,ms,,,,,us,usp0000kyq,2014-11-06T23:21:39.121Z,"Greece-Albania border region",earthquake,,,,,reviewed,us,us
1976-12-27T07:34:00.700Z,41.686,-126.215,15,4.8,mb,,,,,us,usp0000kyp,2014-11-06T23:21:39.120Z,"off the coast of Northern California",earthquake,,,,,reviewed,us,us
1976-12-27T06:32:08.100Z,-55.229,-126.205,33,4.9,mb,,,,,us,usp0000kym,2014-11-06T23:21:39.118Z,"southern East Pacific Rise",earthquake,,,,,reviewed,us,us
1976-12-27T06:22:29.000Z,-3.757,-80.719,65,4.9,mb,,,,,us,usp0000kyk,2014-11-06T23:21:39.116Z,"Peru-Ecuador border region",earthquake,,,,,reviewed,us,us
1976-12-27T06:17:03.600Z,-12.201,166.43,59,4.2,mb,,,,,us,usp0000kyj,2014-11-06T23:21:39.115Z,"Santa Cruz Islands",earthquake,,,,,reviewed,us,us
1976-12-27T04:22:15.800Z,39.054,143.489,33,5,mb,,,,,us,usp0000kyh,2014-11-06T23:21:39.114Z,"off the east coast of Honshu, Japan",earthquake,,,,,reviewed,us,us
1976-12-27T01:20:51.100Z,38.68,73.515,97,4.8,mb,,,,,us,usp0000kyg,2014-11-06T23:21:39.113Z,"Tajikistan",earthquake,,,,,reviewed,us,us
1976-12-26T20:31:41.500Z,30.309,139.007,418,4.8,mb,,,,,us,usp0000kye,2014-11-06T23:21:39.111Z,"Izu Islands, Japan region",earthquake,,,,,reviewed,us,us
1976-12-26T19:33:55.900Z,-40.572,-16.711,33,5.8,ms,,,,,us,usp0000kyd,2015-05-13T18:53:13.000Z,"southern Mid-Atlantic Ridge",earthquake,,,,,reviewed,us,us
1976-12-26T19:06:09.800Z,-40.377,-16.949,33,4.4,mb,,,,,us,usp0000kyc,2014-11-06T23:21:39.008Z,"southern Mid-Atlantic Ridge",earthquake,,,,,reviewed,us,us
1976-12-26T18:04:19.900Z,-18.675,168.935,131,4.9,mb,,,,,us,usp0000kya,2014-11-06T23:21:39.000Z,"Vanuatu",earthquake,,,,,reviewed,us,us
1976-12-26T17:01:02.300Z,-26.152,71.038,33,4.6,mb,,,,,us,usp0000ky9,2014-11-06T23:21:39.000Z,"Mid-Indian Ridge",earthquake,,,,,reviewed,us,us
1976-12-26T14:47:38.100Z,55.239,-159.475,40,5.1,mb,,,,,us,usp0000ky8,2014-11-06T23:21:38.999Z,"Alaska Peninsula",earthquake,,,,,reviewed,us,us
1976-12-26T13:35:33.000Z,20.912,122.081,33,4.8,mb,,,,,us,usp0000ky7,2014-11-06T23:21:38.998Z,"Batan Islands region, Philippines",earthquake,,,,,reviewed,us,us
1976-12-26T13:22:58.400Z,-16.409,-73.324,74,5,mb,,,,,us,usp0000ky6,2014-11-06T23:21:38.998Z,"near the coast of southern Peru",earthquake,,,,,reviewed,us,us
1976-12-26T10:52:47.500Z,49.415,-129.493,10,4.7,mb,,,,,us,usp0000ky4,2014-11-06T23:21:38.996Z,"Vancouver Island, Canada region",earthquake,,,,,reviewed,us,us
1976-12-26T10:48:21.100Z,49.425,-129.618,10,4.7,mb,,,,,us,usp0000ky3,2014-11-06T23:21:38.996Z,"Vancouver Island, Canada region",earthquake,,,,,reviewed,us,us
1976-12-26T08:41:27.300Z,38.93,20.173,33,4.5,mb,,,,,us,usp0000ky2,2014-11-06T23:21:38.995Z,"Greece",earthquake,,,,,reviewed,us,us
1976-12-26T07:44:30.090Z,40.4755,-125.1301667,2.16,4.1,ml,20,319,0.6495,0.1,nc,nc1032963,2016-12-15T10:11:27.015Z,"offshore Northern California",earthquake,6.29,6.54,,0,reviewed,nc,nc
1976-12-26T04:18:35.500Z,-0.807,-77.626,33,5.2,mb,,,,,us,usp0000kxy,2014-11-06T23:21:38.992Z,"Ecuador",earthquake,,,,,reviewed,us,us
1976-12-26T02:26:57.000Z,-30.681,-178.191,38,5.5,mb,,,,,us,usp0000kxx,2014-11-06T23:21:38.991Z,"Kermadec Islands, New Zealand",earthquake,,,,,reviewed,us,us
1976-12-25T23:11:46.300Z,28.422,143.243,33,4.8,mb,,,,,us,usp0000kxw,2014-11-06T23:21:38.990Z,"Bonin Islands, Japan region",earthquake,,,,,reviewed,us,us
1976-12-25T22:19:10.000Z,39.026,44.33,33,4.5,mb,,,,,us,usp0000kxv,2014-11-06T23:21:38.989Z,"Turkey-Iran border region",earthquake,,,,,reviewed,us,us
1976-12-25T21:23:02.800Z,-5.654,153.923,54,5.3,mb,,,,,us,usp0000kxu,2015-05-13T18:53:13.000Z,"New Ireland region, Papua New Guinea",earthquake,,,,,reviewed,us,us
1976-12-25T16:35:44.800Z,41.728,-126.014,15,5.1,mb,,,,,us,usp0000kxs,2014-11-06T23:21:38.987Z,"off the coast of Northern California",earthquake,,,,,reviewed,us,us
1976-12-25T16:13:37.300Z,-31.533,-177.714,46,4.7,mb,,,,,us,usp0000kxr,2014-11-06T23:21:38.986Z,"Kermadec Islands region",earthquake,,,,,reviewed,us,us
1976-12-25T10:49:13.100Z,-17.653,-178.691,555,5,mb,,,,,us,usp0000kxq,2014-11-06T23:21:38.985Z,"Fiji region",earthquake,,,,,reviewed,us,us
1976-12-25T05:54:21.400Z,-4.527,151.571,29,4.8,mb,,,,,us,usp0000kxp,2014-11-06T23:21:38.985Z,"New Britain region, Papua New Guinea",earthquake,,,,,reviewed,us,us
1976-12-25T01:07:10.900Z,25.911,95.064,84,4.9,mb,,,,,us,usp0000kxm,2014-11-06T23:21:38.983Z,"Myanmar",earthquake,,,,,reviewed,us,us
1976-12-24T23:22:32.200Z,6.74,-72.974,168,4.8,mb,,,,,us,usp0000kxk,2014-11-06T23:21:38.982Z,"northern Colombia",earthquake,,,,,reviewed,us,us
1976-12-24T21:48:39.700Z,36.237,26.756,160,4.4,mb,,,,,us,usp0000kxh,2014-11-06T23:21:38.981Z,"Dodecanese Islands, Greece",earthquake,,,,,reviewed,us,us
1976-12-24T15:56:40.100Z,-21.182,-179.164,622,4.6,mb,,,,,us,usp0000kxg,2014-11-06T23:21:38.980Z,"Fiji region",earthquake,,,,,reviewed,us,us
1976-12-24T14:38:33.200Z,60.368,-151.778,89,4.3,mb,,,,,us,usp0000kxd,2014-11-06T23:21:38.977Z,"Kenai Peninsula, Alaska",earthquake,,,,,reviewed,us,us
1976-12-24T14:18:06.600Z,-31.11,-178.828,108,5.3,mb,,,,,us,usp0000kxc,2014-11-06T23:21:38.976Z,"Kermadec Islands region",earthquake,,,,,reviewed,us,us
1976-12-24T13:41:58.300Z,-4.403,134.898,33,4.4,mb,,,,,us,usp0000kxb,2014-11-06T23:21:38.974Z,"near the south coast of Papua, Indonesia",earthquake,,,,,reviewed,us,us
1976-12-24T12:00:32.500Z,-8.867,159.933,68,5.1,mb,,,,,us,usp0000kxa,2014-11-06T23:21:38.898Z,"Solomon Islands",earthquake,,,,,reviewed,us,us
1976-12-24T10:12:09.800Z,-4.361,152.799,57,5.3,mb,,,,,us,usp0000kx9,2014-11-06T23:21:38.889Z,"New Britain region, Papua New Guinea",earthquake,,,,,reviewed,us,us
1976-12-24T08:56:15.200Z,-45.551,-74.888,33,5.6,ms,,,,,us,usp0000kx8,2014-11-06T23:21:38.883Z,"near the coast of Aisen, Chile",earthquake,,,,,reviewed,us,us
