time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1970-12-30T13:04:49.430Z,35.7603333,-117.5776667,5.32,4.28,ml,14,141,,0.37,ci,ci3323412,2016-01-29T01:34:22.790Z,"16km W of Searles Valley, CA",earthquake,1.18,0.87,0.208,11,reviewed,ci,ci
1970-12-30T08:11:11.000Z,1.433,99.069,88.4,5.6,mw,,,,,iscgem,iscgem789656,2020-07-09T23:53:08.947Z,"northern Sumatra, Indonesia",earthquake,,,,,automatic,iscgem,iscgem
1970-12-29T08:01:59.000Z,-3.974,-81.02,35,5.9,mw,,,,,iscgem,iscgem789621,2020-07-09T23:52:57.889Z,"near the coast of northern Peru",earthquake,,,,,automatic,iscgem,iscgem
1970-12-29T02:26:08.000Z,-10.436,161.395,30,6.7,mw,,,,,iscgem,iscgem789614,2020-07-09T23:52:27.385Z,"Solomon Islands",earthquake,,,,,automatic,iscgem,iscgem
1970-12-28T20:03:26.000Z,-5.242,153.52,55,6.6,mw,,,,,iscgem,iscgem789605,2015-05-13T18:53:04.000Z,"New Ireland region, Papua New Guinea",earthquake,,,,,automatic,iscgem,iscgem
1970-12-25T12:53:36.000Z,-0.394,-19.24,15,5.9,mw,,,,,iscgem,iscgem789478,2015-05-13T18:53:04.000Z,"central Mid-Atlantic Ridge",earthquake,,,,,automatic,iscgem,iscgem
1970-12-24T08:00:36.000Z,15.92,-93.625,101.6,5.9,mw,,,,,iscgemsup,iscgemsup789448,2020-07-10T13:40:17.072Z,"Chiapas, Mexico",earthquake,,,,,automatic,iscgem,iscgem
1970-12-24T01:49:56.000Z,-9.203,116.46,70.5,5.6,mw,,,,,iscgem,iscgem789432,2020-07-09T23:52:17.017Z,"Lombok region, Indonesia",earthquake,,,,,automatic,iscgem,iscgem
1970-12-23T11:42:46.000Z,12.43,143.027,30,5.8,mw,,,,,iscgem,iscgem789419,2015-05-13T18:53:04.000Z,"Guam region",earthquake,,,,,automatic,iscgem,iscgem
1970-12-21T14:40:44.000Z,-9.098,116.393,75.3,5.9,mw,,,,,iscgemsup,iscgemsup789364,2020-07-10T13:40:06.381Z,"Lombok region, Indonesia",earthquake,,,,,automatic,iscgem,iscgem
1970-12-19T10:38:07.000Z,-1.542,99.885,42.3,6.2,mw,,,,,iscgem,iscgem789314,2020-07-09T23:52:05.861Z,"Kepulauan Mentawai region, Indonesia",earthquake,,,,,automatic,iscgem,iscgem
1970-12-18T23:50:15.000Z,5.148,123.547,527.7,5.8,mw,,,,,iscgem,iscgem789300,2015-05-13T18:53:04.000Z,"Celebes Sea",earthquake,,,,,automatic,iscgem,iscgem
1970-12-18T15:30:00.720Z,37.1731667,-116.0988333,0.3,4.49,ml,13,258,1.708,0.69,ci,ci3323538,2016-01-29T01:19:28.010Z,"65km ENE of Beatty, NV",nuclear explosion,99,31.61,0.394,11,reviewed,ci,ci
1970-12-17T16:04:59.260Z,37.1428333,-116.034,0.01,5.19,ml,14,258,1.758,2.27,ci,ci3323536,2016-01-29T01:14:35.340Z,"69km ENE of Beatty, NV",nuclear explosion,99,31.61,0.314,11,reviewed,ci,ci
1970-12-17T08:42:22.000Z,-56.167,-27.564,110,6,mw,,,,,iscgemsup,iscgemsup789251,2015-07-13T17:02:24.000Z,"South Sandwich Islands region",earthquake,,,,,automatic,iscgem,iscgem
1970-12-16T16:00:00.490Z,37.1001667,-116.0078333,0.5,4.66,ml,13,256,1.778,0.61,ci,ci3323535,2016-01-29T01:24:44.890Z,"70km ENE of Beatty, NV",nuclear explosion,99,31.61,0.303,9,reviewed,ci,ci
1970-12-16T01:00:49.000Z,5.975,-77.501,20,5.7,mw,,,,,iscgem,iscgem789216,2020-07-09T23:51:53.606Z,"near the west coast of Colombia",earthquake,,,,,automatic,iscgem,iscgem
1970-12-15T15:24:38.000Z,-14.381,167.383,180,5.8,mw,,,,,iscgemsup,iscgemsup789208,2020-07-10T13:39:54.767Z,"Vanuatu",earthquake,,,,,automatic,iscgem,iscgem
1970-12-14T07:32:52.000Z,-1.436,-80.907,15,5.9,mw,,,,,iscgem,iscgem789175,2020-07-09T23:51:40.914Z,"near the coast of Ecuador",earthquake,,,,,automatic,iscgem,iscgem
1970-12-12T01:10:42.000Z,-20.812,-177.794,407.6,5.6,mw,,,,,iscgem,iscgem789091,2015-05-13T18:53:04.000Z,"Fiji region",earthquake,,,,,automatic,iscgem,iscgem
1970-12-11T10:24:37.000Z,-4.104,-80.797,38,5.7,mw,,,,,iscgem,iscgem789073,2020-07-09T23:51:28.685Z,"Peru-Ecuador border region",earthquake,,,,,automatic,iscgem,iscgem
1970-12-10T20:05:36.000Z,1.506,127.276,115,5.7,mw,,,,,iscgem,iscgem789056,2020-07-09T23:51:17.013Z,"Halmahera, Indonesia",earthquake,,,,,automatic,iscgem,iscgem
1970-12-10T11:37:43.000Z,-4.093,-80.987,35.8,5.6,mw,,,,,iscgem,iscgem789045,2020-07-09T23:51:04.847Z,"Peru-Ecuador border region",earthquake,,,,,automatic,iscgem,iscgem
1970-12-10T10:15:12.000Z,52.887,-169.57,80,5.7,mw,,,,,iscgem,iscgem789041,2019-05-20T23:33:34.427Z,"Fox Islands, Aleutian Islands, Alaska",earthquake,,,,,automatic,iscgem,iscgem
1970-12-10T04:34:41.000Z,-4.026,-80.542,25,7.2,mw,,,,,iscgem,iscgem789028,2020-07-07T22:20:04.151Z,"Peru-Ecuador border region",earthquake,,,,,automatic,iscgem,iscgem
1970-12-09T08:02:41.000Z,16.075,-99.531,10,5.7,mw,,,,,iscgem,iscgem789013,2015-05-13T18:53:04.000Z,"offshore Guerrero, Mexico",earthquake,,,,,automatic,iscgem,iscgem
1970-12-08T19:30:08.000Z,-30.838,-71.146,50.7,6.5,mw,,,,,iscgem,iscgem789000,2020-07-09T23:50:46.553Z,"Coquimbo, Chile",earthquake,,,,,automatic,iscgem,iscgem
1970-12-07T21:35:22.000Z,29.773,140.175,184.6,6.7,mw,,,,,iscgem,iscgem788974,2015-05-13T18:53:04.000Z,"Izu Islands, Japan region",earthquake,,,,,automatic,iscgem,iscgem
1970-12-06T20:20:52.000Z,41.787,143.742,40,6.5,mw,,,,,iscgem,iscgem788955,2020-07-09T23:50:30.020Z,"Hokkaido, Japan region",earthquake,,,,,automatic,iscgem,iscgem
1970-12-06T04:10:41.000Z,-6.267,130.077,140,5.6,mw,,,,,iscgem,iscgem788940,2015-05-13T18:53:04.000Z,"Banda Sea",earthquake,,,,,automatic,iscgem,iscgem
1970-12-05T22:30:22.000Z,-6.4,129.995,140,5.8,mw,,,,,iscgem,iscgem788926,2015-05-13T18:53:04.000Z,"Banda Sea",earthquake,,,,,automatic,iscgem,iscgem
1970-12-04T17:08:50.000Z,-23.222,-69.988,39.2,6.5,mw,,,,,iscgem,iscgem788901,2020-07-09T23:50:14.844Z,"Antofagasta, Chile",earthquake,,,,,automatic,iscgem,iscgem
1970-12-03T07:02:48.000Z,-1.015,126.749,25,5.8,mw,,,,,iscgem,iscgem788860,2015-05-13T18:53:04.000Z,"Kepulauan Sula, Indonesia",earthquake,,,,,automatic,iscgem,iscgem
1970-12-03T04:59:53.000Z,7.323,-76.025,24.1,5.7,mw,,,,,iscgem,iscgem788858,2020-07-09T23:50:02.645Z,"northern Colombia",earthquake,,,,,automatic,iscgem,iscgem
1970-12-02T15:54:22.000Z,-11.154,163.377,30,7,mw,,,,,iscgem,iscgem788837,2015-05-13T18:53:04.000Z,"Solomon Islands",earthquake,,,,,automatic,iscgem,iscgem
1970-12-02T02:34:58.000Z,51.385,-175.389,30,5.7,mw,,,,,iscgem,iscgem788811,2019-05-20T23:31:26.806Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,,automatic,iscgem,iscgem
1970-12-01T22:01:55.000Z,-15.589,-172.933,30,5.6,mw,,,,,iscgem,iscgem788802,2015-05-13T18:53:04.000Z,"Samoa Islands region",earthquake,,,,,automatic,iscgem,iscgem
1970-12-01T21:09:37.000Z,51.289,-175.348,25,6,mw,,,,,iscgem,iscgem788799,2019-05-20T23:29:38.476Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,,automatic,iscgem,iscgem
1970-12-01T18:14:38.000Z,-10.974,163.362,10,6.2,mw,,,,,iscgem,iscgem788793,2015-05-13T18:53:04.000Z,"Solomon Islands",earthquake,,,,,automatic,iscgem,iscgem
1970-12-01T12:49:18.000Z,-5.905,152.619,20,5.6,mw,,,,,iscgem,iscgem788789,2015-05-13T18:53:04.000Z,"New Britain region, Papua New Guinea",earthquake,,,,,automatic,iscgem,iscgem
1970-11-29T06:01:19.000Z,-11.803,-13.97,20,6.4,mw,,,,,iscgem,iscgem790645,2015-05-13T18:53:04.000Z,"Ascension Island region",earthquake,,,,,automatic,iscgem,iscgem
1970-11-28T20:22:53.000Z,-4.164,142.904,125,6,mw,,,,,iscgem,iscgem790633,2020-07-09T23:57:05.607Z,"New Guinea, Papua New Guinea",earthquake,,,,,automatic,iscgem,iscgem
1970-11-28T14:45:34.000Z,-21.019,-69.86,45.2,6,mw,,,,,iscgemsup,iscgemsup790629,2020-07-10T13:40:29.518Z,"Tarapaca, Chile",earthquake,,,,,automatic,iscgem,iscgem
1970-11-28T11:08:45.000Z,-21.092,-69.797,44.9,5.9,mw,,,,,iscgem,iscgem790625,2020-07-09T23:56:54.290Z,"Tarapaca, Chile",earthquake,,,,,automatic,iscgem,iscgem
1970-11-28T07:40:11.800Z,35.1,-106.61,,4.5,mb,,,,,ushis,ushis3122,2020-04-16T21:05:33.927Z,"Albuquerque urban area, New Mexico",earthquake,,,,,reviewed,ushis,us
1970-11-28T00:56:06.000Z,-0.972,126.791,15,5.7,mw,,,,,iscgemsup,iscgemsup790607,2015-07-13T17:02:24.000Z,"Molucca Sea",earthquake,,,,,automatic,iscgem,iscgem
1970-11-27T09:39:24.000Z,24.336,122.426,55,5.7,mw,,,,,iscgem,iscgem790590,2015-05-13T18:53:04.000Z,"Taiwan region",earthquake,,,,,automatic,iscgem,iscgem
1970-11-26T03:11:41.000Z,43.489,-128.038,10,5.9,mw,,,,,iscgem,iscgem790550,2019-05-20T23:24:00.559Z,"off the coast of Oregon",earthquake,,,,,automatic,iscgem,iscgem
1970-11-25T18:57:46.000Z,-2.02,134.169,25,5.7,mw,,,,,iscgem,iscgem790538,2020-07-09T23:56:42.204Z,"near the north coast of Papua, Indonesia",earthquake,,,,,automatic,iscgem,iscgem
1970-11-24T05:06:41.000Z,47.328,152.556,125,5.6,mw,,,,,iscgem,iscgem790497,2015-05-13T18:53:04.000Z,"Kuril Islands",earthquake,,,,,automatic,iscgem,iscgem
1970-11-22T11:54:00.000Z,18.35,146.034,81.7,5.6,mw,,,,,iscgem,iscgem790458,2015-05-13T18:53:04.000Z,"Pagan region, Northern Mariana Islands",earthquake,,,,,automatic,iscgem,iscgem
1970-11-21T12:19:43.000Z,15.045,120.047,62.8,5.8,mw,,,,,iscgem,iscgem790430,2020-07-09T23:56:30.957Z,"Luzon, Philippines",earthquake,,,,,automatic,iscgem,iscgem
1970-11-21T02:51:07.000Z,2.199,128.322,125,5.6,mw,,,,,iscgem,iscgem790414,2020-07-09T23:56:19.099Z,"Halmahera, Indonesia",earthquake,,,,,automatic,iscgem,iscgem
1970-11-20T13:48:24.000Z,43.411,146.997,35,5.9,mw,,,,,iscgem,iscgem790397,2015-05-13T18:53:04.000Z,"Kuril Islands",earthquake,,,,,automatic,iscgem,iscgem
1970-11-20T13:46:53.000Z,28.15,142.61,25,5.6,mw,,,,,iscgem,iscgem790396,2015-05-13T18:53:04.000Z,"Bonin Islands, Japan region",earthquake,,,,,automatic,iscgem,iscgem
1970-11-18T20:10:57.000Z,-28.871,-112.701,10,6,mw,,,,,iscgem,iscgem790319,2015-05-13T18:53:04.000Z,"Easter Island region",earthquake,,,,,automatic,iscgem,iscgem
1970-11-18T16:43:15.000Z,-21.723,175.408,577.3,5.7,mw,,,,,iscgem,iscgem790316,2015-05-13T18:53:04.000Z,"south of the Fiji Islands",earthquake,,,,,automatic,iscgem,iscgem
1970-11-18T12:23:17.000Z,35.29,-35.796,15,5.9,mw,,,,,iscgem,iscgem790313,2015-05-13T18:53:04.000Z,"northern Mid-Atlantic Ridge",earthquake,,,,,automatic,iscgem,iscgem
1970-11-17T02:13:54.100Z,35.856,-89.947,14,4.01,mw,,,,,ushis,ushis3120,2018-06-04T20:43:45.000Z,"Arkansas",earthquake,,,,,reviewed,ushis,stt
1970-11-16T21:32:58.000Z,-1.019,126.814,15,5.6,mw,,,,,iscgem,iscgem790274,2015-05-13T18:53:04.000Z,"Kepulauan Sula, Indonesia",earthquake,,,,,automatic,iscgem,iscgem
1970-11-16T06:44:19.000Z,-6.08,148.591,50,5.8,mw,,,,,iscgem,iscgem790254,2020-07-09T23:56:03.354Z,"New Britain region, Papua New Guinea",earthquake,,,,,automatic,iscgem,iscgem
1970-11-14T07:58:21.000Z,22.78,121.349,29.5,6.2,mw,,,,,iscgem,iscgem790201,2020-07-09T23:55:45.343Z,"Taiwan region",earthquake,,,,,automatic,iscgem,iscgem
1970-11-14T04:51:37.000Z,12.708,143.227,80,5.8,mw,,,,,iscgem,iscgem790199,2015-05-13T18:53:04.000Z,"Guam region",earthquake,,,,,automatic,iscgem,iscgem
1970-11-13T14:16:23.000Z,12.081,123.863,13.5,6.5,mw,,,,,iscgem,iscgem790180,2020-07-09T23:55:11.820Z,"Masbate region, Philippines",earthquake,,,,,automatic,iscgem,iscgem
1970-11-13T05:46:14.070Z,20.105,-155.8215,13.258,4.32,ml,23,150,,0.08,hv,hv19703673,2020-03-31T16:29:05.320Z,"Hawaii region, Hawaii",earthquake,0.75,1.08,0.14,4,reviewed,hv,hv
1970-11-13T00:09:01.000Z,-22.126,-69.957,35.6,5.8,mw,,,,,iscgem,iscgem790149,2020-07-09T23:55:00.985Z,"Antofagasta, Chile",earthquake,,,,,automatic,iscgem,iscgem
1970-11-12T06:07:17.000Z,-5.135,145.077,15,6.3,mw,,,,,iscgem,iscgem790114,2020-07-09T23:54:40.342Z,"eastern New Guinea region, Papua New Guinea",earthquake,,,,,automatic,iscgem,iscgem
