time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1974-12-31T22:40:48.210Z,19.294,-155.3603333,2.032,5.6,ml,30,123,,0.13,hv,hv19744852,2020-08-26T00:04:54.284Z,"Hawaii region, Hawaii",earthquake,0.5,1.11,,2,reviewed,hv,hv
1974-12-31T21:56:10.000Z,14.196,-91.942,75,4.9,mb,,,,,us,usp00009b2,2014-11-06T23:21:28.171Z,"offshore Guatemala",earthquake,,,,,reviewed,us,us
1974-12-31T20:22:00.940Z,36.9335,-121.4606667,9.074,4.3,ml,76,63,0.04595,0.13,nc,nc1022393,2016-12-14T23:03:25.120Z,"Central California",earthquake,0.21,0.48,,0,reviewed,nc,nc
1974-12-31T20:21:09.000Z,14.126,-91.824,39,6.1,ms,,,,,us,usp00009b0,2020-08-26T00:04:40.964Z,"offshore Guatemala",earthquake,,,,,reviewed,us,us
1974-12-31T20:15:32.700Z,14.15,-91.921,75,5.4,mb,,,,,us,usp00009az,2014-11-06T23:21:28.167Z,"offshore Guatemala",earthquake,,,,,reviewed,us,us
1974-12-31T10:48:49.200Z,-32.728,-71.809,45,4.4,mb,,,,,us,usp00009au,2014-11-06T23:21:28.162Z,"offshore Valparaiso, Chile",earthquake,,,,,reviewed,us,us
1974-12-31T07:27:43.200Z,-18.838,169.275,220,4.7,mb,,,,,us,usp00009as,2014-11-06T23:21:28.159Z,"Vanuatu",earthquake,,,,,reviewed,us,us
1974-12-31T05:15:43.200Z,-7.383,156.035,61,4.9,mb,,,,,us,usp00009ar,2014-11-06T23:21:28.158Z,"Solomon Islands",earthquake,,,,,reviewed,us,us
1974-12-31T04:37:31.200Z,52.531,-179.26,228,5.1,mb,,,,,us,usp00009aq,2014-11-06T23:21:28.151Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,us,us
1974-12-31T02:29:58.000Z,-7.298,128.229,81,4.5,mb,,,,,us,usp00009ap,2014-11-06T23:21:28.143Z,"Kepulauan Barat Daya, Indonesia",earthquake,,,,,reviewed,us,us
1974-12-31T00:58:23.700Z,-6.264,146.297,120,4.4,mb,,,,,us,usp00009am,2014-11-06T23:21:28.132Z,"eastern New Guinea region, Papua New Guinea",earthquake,,,,,reviewed,us,us
1974-12-30T23:57:03.200Z,39.528,143.178,51,4.6,mb,,,,,us,usp00009ak,2014-11-06T23:21:28.126Z,"off the east coast of Honshu, Japan",earthquake,,,,,reviewed,us,us
1974-12-30T21:06:13.000Z,-55.299,-27.895,33,5.2,mb,,,,,us,usp00009aj,2014-11-06T23:21:28.121Z,"South Sandwich Islands region",earthquake,,,,,reviewed,us,us
1974-12-30T20:33:23.100Z,17.533,-62.027,33,4.6,mb,,,,,us,usp00009ah,2014-11-06T23:21:28.114Z,"Antigua and Barbuda region, Leeward Islands",earthquake,,,,,reviewed,us,us
1974-12-30T16:24:47.800Z,36.709,71.003,40,4.9,mb,,,,,us,usp00009ag,2014-11-06T23:21:28.108Z,"Hindu Kush region, Afghanistan",earthquake,,,,,reviewed,us,us
1974-12-30T15:41:36.700Z,-11.118,166.383,98,4.6,mb,,,,,us,usp00009af,2014-11-06T23:21:28.080Z,"Santa Cruz Islands",earthquake,,,,,reviewed,us,us
1974-12-30T15:17:29.200Z,28.851,103.948,33,4.7,mb,,,,,us,usp00009ae,2014-11-06T23:21:28.073Z,"eastern Sichuan, China",earthquake,,,,,reviewed,us,us
1974-12-30T13:12:47.870Z,29.9076667,-116.1288333,6,4.58,ml,20,304,2.734,41.96,ci,ci3319041,2016-01-29T01:48:03.640Z,"206km SSE of Maneadero, B.C., MX",earthquake,99,31.61,0.095,6,reviewed,ci,ci
1974-12-30T13:12:15.300Z,30.424,-116.402,33,4,mb,,,,,us,usp00009ad,2014-11-06T23:21:28.071Z,"offshore Baja California, Mexico",earthquake,,,,,reviewed,us,us
1974-12-30T10:09:03.900Z,6.19,-72.143,90,4.3,mb,,,,,us,usp00009aa,2014-11-06T23:21:28.067Z,"northern Colombia",earthquake,,,,,reviewed,us,us
1974-12-30T07:03:56.800Z,37.419,141.973,24,4,mb,,,,,us,usp00009a9,2014-11-06T23:21:28.067Z,"near the east coast of Honshu, Japan",earthquake,,,,,reviewed,us,us
1974-12-30T06:14:57.000Z,-15.416,167.165,117,4.2,mb,,,,,us,usp00009a8,2014-11-06T23:21:28.065Z,"Vanuatu",earthquake,,,,,reviewed,us,us
1974-12-30T04:47:44.300Z,35.991,69.718,116,5.3,mb,,,,,us,usp00009a7,2015-05-13T18:53:10.000Z,"Hindu Kush region, Afghanistan",earthquake,,,,,reviewed,us,us
1974-12-30T03:33:16.600Z,61.982,-149.686,62,5.1,mb,,,,,us,usp00009a6,2014-11-06T23:21:28.063Z,"Southern Alaska",earthquake,,,,,reviewed,us,us
1974-12-29T18:25:00.700Z,61.597,-150.511,67,5.6,mb,,,,,us,usp00009a2,2020-08-26T00:04:23.849Z,"Southern Alaska",earthquake,,,,,reviewed,us,us
1974-12-29T17:20:47.200Z,-32.996,-69.994,99,5.5,mb,,,,,us,usp00009a1,2014-11-06T23:21:28.058Z,"Mendoza, Argentina",earthquake,,,,,reviewed,us,us
1974-12-29T15:06:21.500Z,-22.51,-70.454,43,4.3,mb,,,,,us,usp00009a0,2014-11-06T23:21:28.058Z,"near the coast of Antofagasta, Chile",earthquake,,,,,reviewed,us,us
1974-12-29T13:31:30.700Z,51.124,178.909,54,4.4,mb,,,,,us,usp000099z,2014-11-06T23:21:28.056Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,us,us
1974-12-29T12:07:01.500Z,30.757,-116.185,33,4.2,mb,,,,,us,usp000099y,2016-01-29T01:18:24.990Z,"offshore Baja California, Mexico",earthquake,,,,,reviewed,us,us
1974-12-29T09:56:45.400Z,42.311,138.502,235,4.2,mb,,,,,us,usp000099x,2014-11-06T23:21:28.054Z,"eastern Sea of Japan",earthquake,,,,,reviewed,us,us
1974-12-29T04:59:09.600Z,39.198,71.805,69,5,mb,,,,,us,usp000099u,2014-11-06T23:21:28.050Z,"Tajikistan",earthquake,,,,,reviewed,us,us
1974-12-29T04:10:00.700Z,-4.986,129.968,40,4.8,mb,,,,,us,usp000099t,2014-11-06T23:21:28.050Z,"Banda Sea",earthquake,,,,,reviewed,us,us
1974-12-29T03:50:06.100Z,64.507,-17.625,33,5.2,mb,,,,,us,usp000099s,2014-11-06T23:21:28.048Z,"Iceland",earthquake,,,,,reviewed,us,us
1974-12-29T01:49:34.400Z,38.947,141.671,67,4.4,mb,,,,,us,usp000099q,2014-11-06T23:21:28.046Z,"near the east coast of Honshu, Japan",earthquake,,,,,reviewed,us,us
1974-12-29T01:16:57.900Z,-3.713,146.592,51,4.4,mb,,,,,us,usp000099p,2014-11-06T23:21:28.045Z,"Bismarck Sea",earthquake,,,,,reviewed,us,us
1974-12-28T23:49:51.000Z,14.974,-91.062,186,4.6,mb,,,,,us,usp000099n,2014-11-06T23:21:28.043Z,"Guatemala",earthquake,,,,,reviewed,us,us
1974-12-28T23:26:36.900Z,23.594,142.953,33,4.4,mb,,,,,us,usp000099m,2014-11-06T23:21:28.043Z,"Volcano Islands, Japan region",earthquake,,,,,reviewed,us,us
1974-12-28T23:18:38.800Z,30.86,-116.075,33,4.7,mb,,,,,us,usp000099k,2014-11-06T23:21:28.042Z,"Baja California, Mexico",earthquake,,,,,reviewed,us,us
1974-12-28T22:38:50.900Z,35.205,72.955,33,5,mb,,,,,us,usp000099j,2014-11-06T23:21:28.040Z,"Pakistan",earthquake,,,,,reviewed,us,us
1974-12-28T22:28:17.400Z,35.041,72.951,33,5,mb,,,,,us,usp000099h,2014-11-06T23:21:28.039Z,"Pakistan",earthquake,,,,,reviewed,us,us
1974-12-28T12:46:08.500Z,35.128,72.923,33,5,mb,,,,,us,usp000099g,2014-11-06T23:21:28.038Z,"Pakistan",earthquake,,,,,reviewed,us,us
1974-12-28T12:11:43.700Z,35.054,72.87,22,6.2,ms,,,,,us,usp000099f,2020-07-07T23:07:12.427Z,"Pakistan",earthquake,,,,,reviewed,us,us
1974-12-28T08:15:52.900Z,-5.012,129.985,33,5,mb,,,,,us,usp000099e,2014-11-06T23:21:28.036Z,"Banda Sea",earthquake,,,,,reviewed,us,us
1974-12-28T06:44:59.500Z,22.407,120.846,45,4.6,mb,,,,,us,usp000099d,2014-11-06T23:21:28.035Z,"Taiwan",earthquake,,,,,reviewed,us,us
1974-12-28T06:17:44.700Z,77.004,-106.36,33,4.1,mb,,,,,us,usp000099c,2014-11-06T23:21:28.034Z,"Sverdrup Islands, Nunavut, Canada",earthquake,,,,,reviewed,us,us
1974-12-28T05:47:20.800Z,-12.099,166.998,211,4.1,mb,,,,,us,usp000099b,2014-11-06T23:21:28.032Z,"Santa Cruz Islands",earthquake,,,,,reviewed,us,us
1974-12-28T05:19:55.500Z,24.618,122.579,117,4.8,mb,,,,,us,usp000099a,2014-11-06T23:21:28.031Z,"Taiwan region",earthquake,,,,,reviewed,us,us
1974-12-28T01:36:14.600Z,19.551,145.362,270,4.5,mb,,,,,us,usp0000998,2014-11-06T23:21:28.029Z,"Maug Islands region, Northern Mariana Islands",earthquake,,,,,reviewed,us,us
1974-12-28T00:11:53.700Z,54.192,-162.772,44,4.6,mb,,,,,us,usp0000997,2014-11-06T23:21:28.028Z,"Alaska Peninsula",earthquake,,,,,reviewed,us,us
1974-12-27T23:21:40.600Z,76.692,-106.022,33,4.3,mb,,,,,us,usp0000996,2014-11-06T23:21:28.027Z,"Melville Island region, Nunavut, Canada",earthquake,,,,,reviewed,us,us
1974-12-27T22:53:44.800Z,76.639,-106.195,33,4.8,mb,,,,,us,usp0000995,2014-11-06T23:21:28.023Z,"Melville Island region, Nunavut, Canada",earthquake,,,,,reviewed,us,us
1974-12-27T20:58:42.700Z,45.801,142.357,333,4.3,mb,,,,,us,usp0000994,2014-11-06T23:21:28.023Z,"Hokkaido, Japan region",earthquake,,,,,reviewed,us,us
1974-12-27T11:56:18.100Z,-29.396,-177.341,22,4.9,mb,,,,,us,usp0000993,2014-11-06T23:21:28.022Z,"Kermadec Islands, New Zealand",earthquake,,,,,reviewed,us,us
1974-12-27T11:28:57.800Z,-29.289,-177.45,61,5,mb,,,,,us,usp0000992,2014-11-06T23:21:28.020Z,"Kermadec Islands, New Zealand",earthquake,,,,,reviewed,us,us
1974-12-27T10:52:06.300Z,43.918,148.13,60,4,mb,,,,,us,usp0000991,2014-11-06T23:21:28.019Z,"east of the Kuril Islands",earthquake,,,,,reviewed,us,us
1974-12-27T09:03:48.500Z,-4.459,-101.976,33,4.6,mb,,,,,us,usp0000990,2014-11-06T23:21:28.017Z,"central East Pacific Rise",earthquake,,,,,reviewed,us,us
1974-12-27T05:46:56.800Z,49.96,79.046,0,5.6,mb,,,,,us,usp000098z,2015-06-16T17:19:11.764Z,"eastern Kazakhstan",nuclear explosion,,,,,reviewed,us,us
1974-12-27T03:13:11.100Z,-4.778,144.929,92,4.6,mb,,,,,us,usp000098y,2014-11-06T23:21:28.014Z,"near the north coast of New Guinea, Papua New Guinea",earthquake,,,,,reviewed,us,us
1974-12-27T00:53:00.700Z,-16.409,-176.198,380,4.6,mb,,,,,us,usp000098x,2014-11-06T23:21:28.012Z,"Fiji region",earthquake,,,,,reviewed,us,us
1974-12-26T22:15:56.900Z,-0.22,-91.325,33,4.8,mb,,,,,us,usp000098w,2014-11-06T23:21:28.011Z,"Galapagos Islands, Ecuador",earthquake,,,,,reviewed,us,us
1974-12-26T22:10:33.100Z,-30.88,-177.117,63,4.4,mb,,,,,us,usp000098v,2014-11-06T23:21:28.009Z,"Kermadec Islands, New Zealand",earthquake,,,,,reviewed,us,us
1974-12-26T21:36:27.200Z,12.927,125.17,33,5.1,mb,,,,,us,usp000098u,2014-11-06T23:21:28.008Z,"Samar, Philippines",earthquake,,,,,reviewed,us,us
1974-12-26T18:36:21.900Z,29.495,52.732,33,4.8,mb,,,,,us,usp000098t,2014-11-06T23:21:28.007Z,"southern Iran",earthquake,,,,,reviewed,us,us
1974-12-26T18:32:39.200Z,51.465,174.861,33,4.7,mb,,,,,us,usp000098s,2014-11-06T23:21:28.006Z,"Near Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,us,us
1974-12-26T17:50:16.300Z,16.495,-98.202,77,4.6,mb,,,,,us,usp000098r,2014-11-06T23:21:28.005Z,"Oaxaca, Mexico",earthquake,,,,,reviewed,us,us
1974-12-26T14:01:49.200Z,34.998,23.218,33,4.4,mb,,,,,us,usp000098q,2014-11-06T23:21:28.003Z,"Crete, Greece",earthquake,,,,,reviewed,us,us
1974-12-26T08:38:02.700Z,-4.99,153.546,42,4.9,ms,,,,,us,usp000098p,2014-11-06T23:21:28.002Z,"New Ireland region, Papua New Guinea",earthquake,,,,,reviewed,us,us
1974-12-26T04:24:14.740Z,19.2226667,-155.3,8.964,4.39,ml,35,167,,0.09,hv,hv19744407,2020-03-31T16:54:49.340Z,"Hawaii region, Hawaii",earthquake,0.58,0.5,0.09,4,reviewed,hv,hv
1974-12-26T04:13:21.280Z,19.2261667,-155.2975,9.074,4.21,ml,35,166,,0.08,hv,hv19744405,2020-03-31T16:54:49.010Z,"Hawaii region, Hawaii",earthquake,0.49,0.6,0.03,3,reviewed,hv,hv
1974-12-25T23:57:23.000Z,3.649,124.335,363,5,mb,,,,,us,usp000098h,2014-11-06T23:21:27.996Z,"Celebes Sea",earthquake,,,,,reviewed,us,us
1974-12-25T19:25:27.800Z,-2.593,-76.795,169,4,mb,,,,,us,usp000098f,2014-11-06T23:21:27.994Z,"Peru-Ecuador border region",earthquake,,,,,reviewed,us,us
1974-12-25T18:01:19.900Z,-19.665,-69.752,84,4.2,mb,,,,,us,usp000098e,2014-11-06T23:21:27.993Z,"Tarapaca, Chile",earthquake,,,,,reviewed,us,us
1974-12-25T17:47:49.410Z,19.3445,-155.2781667,31.37,4.77,ml,36,69,,0.08,hv,hv19744395,2020-03-31T16:54:47.480Z,"Hawaii region, Hawaii",earthquake,0.59,1.05,0.06,4,reviewed,hv,hv
1974-12-25T17:13:26.200Z,7.81,134.533,24,5.2,mb,,,,,us,usp000098c,2014-11-06T23:21:27.990Z,"Palau region",earthquake,,,,,reviewed,us,us
1974-12-25T16:16:18.000Z,12.886,144.088,116,4.8,mb,,,,,us,usp000098b,2014-11-06T23:21:27.989Z,"Guam region",earthquake,,,,,reviewed,us,us
1974-12-25T15:50:04.000Z,6.856,-73.072,162,4.5,mb,,,,,us,usp000098a,2014-11-06T23:21:27.988Z,"northern Colombia",earthquake,,,,,reviewed,us,us
1974-12-25T15:03:16.700Z,52.507,152.048,524,4.8,mb,,,,,us,usp0000989,2014-11-06T23:21:27.987Z,"northwest of the Kuril Islands",earthquake,,,,,reviewed,us,us
1974-12-25T12:33:09.600Z,-31.903,179.843,327,5.1,mb,,,,,us,usp0000987,2014-11-06T23:21:27.985Z,"Kermadec Islands region",earthquake,,,,,reviewed,us,us
1974-12-25T11:14:40.700Z,54.076,-163.377,30,4.4,mb,,,,,us,usp0000986,2014-11-06T23:21:27.983Z,"Unimak Island region, Alaska",earthquake,,,,,reviewed,us,us
1974-12-25T07:54:46.000Z,51.731,174.486,37,5.1,mb,,,,,us,usp0000985,2014-11-06T23:21:27.982Z,"Near Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,us,us
1974-12-25T06:42:49.800Z,51.43,174.715,33,4.1,mb,,,,,us,usp0000984,2014-11-06T23:21:27.981Z,"Near Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,us,us
1974-12-25T04:29:44.100Z,18.902,145.47,163,4.3,mb,,,,,us,usp0000983,2014-11-06T23:21:27.980Z,"Pagan region, Northern Mariana Islands",earthquake,,,,,reviewed,us,us
1974-12-25T02:49:13.000Z,51.697,174.635,40,5.8,ms,,,,,us,usp0000982,2018-06-04T20:43:45.000Z,"Near Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,us,us
1974-12-25T02:17:14.400Z,-14.301,167.254,179,5,mb,,,,,us,usp0000981,2014-11-06T23:21:27.977Z,"Vanuatu",earthquake,,,,,reviewed,us,us
1974-12-24T23:41:44.800Z,-4.787,153.517,90,4.8,mb,,,,,us,usp0000980,2014-11-06T23:21:27.976Z,"New Ireland region, Papua New Guinea",earthquake,,,,,reviewed,us,us
1974-12-24T22:17:55.900Z,11.879,-88.466,59,4.4,mb,,,,,us,usp000097z,2014-11-06T23:21:27.975Z,"off the coast of Central America",earthquake,,,,,reviewed,us,us
1974-12-24T19:55:29.800Z,36.4,70.388,206,4.6,mb,,,,,us,usp000097y,2014-11-06T23:21:27.973Z,"Hindu Kush region, Afghanistan",earthquake,,,,,reviewed,us,us
1974-12-24T19:37:07.200Z,11.084,-62.658,103,4.9,mb,,,,,us,usp000097x,2014-11-06T23:21:27.972Z,"offshore Sucre, Venezuela",earthquake,,,,,reviewed,us,us
1974-12-24T16:47:35.600Z,-21.669,-68.252,181,4.1,mb,,,,,us,usp000097w,2014-11-06T23:21:27.971Z,"Antofagasta, Chile",earthquake,,,,,reviewed,us,us
1974-12-24T14:04:08.900Z,5.116,-72.707,67,4.5,mb,,,,,us,usp000097v,2014-11-06T23:21:27.970Z,"Colombia",earthquake,,,,,reviewed,us,us
1974-12-24T10:27:42.800Z,37.521,29.796,25,4.6,mb,,,,,us,usp000097u,2014-11-06T23:21:27.970Z,"western Turkey",earthquake,,,,,reviewed,us,us
1974-12-24T09:42:08.500Z,25.537,64.817,33,4.7,mb,,,,,us,usp000097t,2014-11-06T23:21:27.968Z,"southwestern Pakistan",earthquake,,,,,reviewed,us,us
1974-12-24T06:55:47.100Z,-2.308,99.043,33,6.8,ms,,,,,us,usp000097s,2020-08-26T00:04:02.742Z,"Kepulauan Mentawai region, Indonesia",earthquake,,,,,reviewed,us,us
1974-12-24T02:10:25.400Z,14.259,-90.08,155,5.4,mb,,,,,us,usp000097p,2014-11-06T23:21:27.964Z,"Guatemala",earthquake,,,,,reviewed,us,us
1974-12-24T01:45:47.500Z,-5.007,152.272,57,4.7,mb,,,,,us,usp000097n,2014-11-06T23:21:27.963Z,"New Britain region, Papua New Guinea",earthquake,,,,,reviewed,us,us
1974-12-24T00:54:00.500Z,-12.864,-77.963,19,4.7,mb,,,,,us,usp000097m,2014-11-06T23:21:27.962Z,"near the coast of central Peru",earthquake,,,,,reviewed,us,us
1974-12-23T23:42:14.500Z,5.259,-82.541,33,5.1,mb,,,,,us,usp000097k,2014-11-06T23:21:27.960Z,"south of Panama",earthquake,,,,,reviewed,us,us
1974-12-23T16:31:24.500Z,35.389,26.075,33,4.5,mb,,,,,us,usp000097h,2014-11-06T23:21:27.958Z,"Crete, Greece",earthquake,,,,,reviewed,us,us
1974-12-23T11:31:00.000Z,-26.276,-177.517,198,4.2,mb,,,,,us,usp000097g,2014-11-06T23:21:27.957Z,"south of the Fiji Islands",earthquake,,,,,reviewed,us,us
1974-12-23T11:16:48.200Z,-16.211,-176.664,421,4.6,mb,,,,,us,usp000097f,2014-11-06T23:21:27.955Z,"Fiji region",earthquake,,,,,reviewed,us,us
1974-12-23T09:45:42.800Z,29.412,81.393,45,5.2,mb,,,,,us,usp000097e,2014-11-06T23:21:27.955Z,"Nepal",earthquake,,,,,reviewed,us,us
1974-12-23T08:13:58.800Z,-3.035,-75.393,119,4.6,mb,,,,,us,usp000097d,2014-11-06T23:21:27.953Z,"northern Peru",earthquake,,,,,reviewed,us,us
1974-12-23T06:34:54.600Z,-56.324,-26.151,78,5.1,mb,,,,,us,usp000097c,2014-11-06T23:21:27.952Z,"South Sandwich Islands region",earthquake,,,,,reviewed,us,us
1974-12-23T05:22:08.400Z,43.128,47.049,33,5,ms,,,,,us,usp000097b,2014-11-06T23:21:27.951Z,"Caucasus region, Russia",earthquake,,,,,reviewed,us,us
1974-12-23T01:04:02.700Z,-14.59,-175.666,33,5.6,ms,,,,,us,usp000097a,2014-11-06T23:21:27.950Z,"Samoa Islands region",earthquake,,,,,reviewed,us,us
1974-12-23T00:33:10.800Z,-5.034,153.43,76,4.8,mb,,,,,us,usp0000979,2014-11-06T23:21:27.948Z,"New Ireland region, Papua New Guinea",earthquake,,,,,reviewed,us,us
1974-12-22T18:06:36.200Z,-26.953,-176.296,33,5.2,mb,,,,,us,usp0000977,2014-11-06T23:21:27.945Z,"south of the Fiji Islands",earthquake,,,,,reviewed,us,us
1974-12-22T16:44:15.500Z,-18.987,-69.826,63,5.2,mb,,,,,us,usp0000976,2014-11-06T23:21:27.944Z,"Tarapaca, Chile",earthquake,,,,,reviewed,us,us
