time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2000-12-31T23:50:35.500Z,52.317,160.552,33,4.3,mb,14,,,1.16,us,usp000a708,2014-11-07T01:11:48.035Z,"off the east coast of the Kamchatka Peninsula, Russia",earthquake,,,,3,reviewed,us,us
2000-12-31T23:42:59.690Z,-26.547,-107.261,10,5.4,mwc,80,,,0.84,us,usp000a707,2016-11-10T00:20:01.175Z,"Easter Island region",earthquake,,,,,reviewed,us,hrv
2000-12-31T22:07:00.300Z,-38.53,178.93,91,4,ml,11,,,,us,usp000a705,2014-11-07T01:11:48.020Z,"off the east coast of the North Island of New Zealand",earthquake,,,,,reviewed,wel,wel
2000-12-31T21:56:50.900Z,-38.04,178.8,33,5.3,mwc,58,,,,us,usp000a704,2016-11-10T00:20:00.681Z,"off the east coast of the North Island of New Zealand",earthquake,,,,,reviewed,wel,hrv
2000-12-31T16:12:34.400Z,-56.179,-27.217,100,4.5,mb,14,,,0.54,us,usp000a6zz,2014-11-07T01:11:48.004Z,"South Sandwich Islands region",earthquake,,,,2,reviewed,us,us
2000-12-31T14:47:12.700Z,-15.224,-173.797,115.1,4.5,mb,51,,,0.82,us,usp000a6zw,2014-11-07T01:11:47.987Z,"Tonga",earthquake,,,,12,reviewed,us,us
2000-12-31T13:04:57.260Z,-19.416,-176.181,246.5,4.1,mb,23,,,0.91,us,usp000a6zr,2014-11-07T01:11:47.963Z,"Fiji region",earthquake,,,,5,reviewed,us,us
2000-12-31T12:56:12.900Z,-12.901,166.822,50.4,4.8,mb,38,,,1.2,us,usp000a6zq,2014-11-07T01:11:47.957Z,"Santa Cruz Islands",earthquake,,,,7,reviewed,us,us
2000-12-31T12:05:06.470Z,-44.734,-79.654,33,4.5,mb,15,,,1.3,us,usp000a6zn,2014-11-07T01:11:47.942Z,"off the coast of Aisen, Chile",earthquake,,,,3,reviewed,us,us
2000-12-31T08:56:39.780Z,44.653,147.918,100,4.5,mb,20,,,0.7,us,usp000a6zj,2014-11-07T01:11:47.929Z,"Kuril Islands",earthquake,,,,2,reviewed,us,us
2000-12-31T07:51:46.010Z,8.27,127.199,47,5.3,mwc,41,,,0.91,us,usp000a6zh,2016-11-10T00:20:00.191Z,"Philippine Islands region",earthquake,,,,,reviewed,us,hrv
2000-12-31T06:17:07.820Z,-6.011,153.36,33,4.5,mb,14,,,1.41,us,usp000a6ze,2014-11-07T01:11:47.895Z,"New Britain region, Papua New Guinea",earthquake,,,,5,reviewed,us,us
2000-12-31T06:04:14.406Z,51.3618,-177.0487,20.7,4,ml,,,,0.26,ak,ak000gteaicg,2020-02-20T20:31:51.664Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,1.6,,,reviewed,ak,ak
2000-12-31T05:59:00.510Z,-5.039,130.814,33,4.5,mb,12,,,0.71,us,usp000a6zd,2014-11-07T01:11:47.887Z,"Banda Sea",earthquake,,,,1,reviewed,us,us
2000-12-31T04:34:20.110Z,51.895,-175.986,65.1,4.2,mb,26,,,1.17,us,usp000a6z9,2014-11-07T01:11:47.876Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,8.9,,5,reviewed,us,us
2000-12-31T03:23:01.250Z,-29.48,-177.896,73,5,mb,22,,,1.22,us,usp000a6z3,2014-11-07T01:11:47.848Z,"Kermadec Islands, New Zealand",earthquake,,9,,3,reviewed,us,us
2000-12-31T02:10:43.270Z,3.456,-74.953,33,4.5,ml,5,,,0.67,us,usp000a6yy,2014-11-07T01:11:47.742Z,"Colombia",earthquake,,,,,reviewed,us,rsnc
2000-12-31T01:45:03.240Z,81.532,120.279,27.3,5.1,mwc,152,,,1.09,us,usp000a6yx,2016-11-10T00:19:59.698Z,"east of Severnaya Zemlya",earthquake,,,,,reviewed,us,hrv
2000-12-30T22:51:44.470Z,36.374,71.126,123.4,4.6,mb,29,,,0.82,us,usp000a6yr,2014-11-07T01:11:47.553Z,"Hindu Kush region, Afghanistan",earthquake,,8.8,,7,reviewed,us,us
2000-12-30T22:41:25.570Z,-5.47,152.303,33,4.1,mb,12,,,1.16,us,usp000a6yq,2014-11-07T01:11:47.551Z,"New Britain region, Papua New Guinea",earthquake,,,,2,reviewed,us,us
2000-12-30T20:27:20.890Z,-5.412,152.377,33,4.3,mb,18,,,1.24,us,usp000a6yh,2014-11-07T01:11:47.538Z,"New Britain region, Papua New Guinea",earthquake,,,,3,reviewed,us,us
2000-12-30T19:56:00.040Z,-16.868,-177.261,393.6,4,mb,23,,,0.81,us,usp000a6yf,2014-11-07T01:11:47.533Z,"Fiji region",earthquake,,48.8,,6,reviewed,us,us
2000-12-30T19:42:52.710Z,24.317,122.974,55.6,5.1,mb,96,,,1,us,usp000a6yd,2014-11-07T01:11:47.523Z,"Taiwan region",earthquake,,,,37,reviewed,us,us
2000-12-30T18:32:44.780Z,11.85,144.666,33,4.4,mb,19,,,1.15,us,usp000a6yb,2014-11-07T01:11:47.520Z,"south of the Mariana Islands",earthquake,,,,2,reviewed,us,us
2000-12-30T17:49:27.560Z,13.308,49.541,33,4.4,mb,23,,,0.98,us,usp000a6y8,2014-11-07T01:11:47.513Z,"Gulf of Aden",earthquake,,,,3,reviewed,us,us
2000-12-30T17:09:16.310Z,22.767,-107.492,10,4.4,mb,47,,,1.44,us,usp000a6y7,2014-11-07T01:11:47.509Z,"off the coast of Sinaloa, Mexico",earthquake,,,,20,reviewed,us,us
2000-12-30T15:31:40.070Z,14.98,-60.625,70.2,4.8,mb,76,,,0.85,us,usp000a6y1,2014-11-07T01:11:47.495Z,"Martinique region, Windward Islands",earthquake,,2.8,,17,reviewed,us,us
2000-12-30T15:07:08.270Z,39.669,54.81,10,4.9,mb,149,,,1.04,us,usp000a6xz,2014-11-07T01:11:47.479Z,"Turkmenistan",earthquake,,,,66,reviewed,us,us
2000-12-30T14:32:55.700Z,-30.018,-72.054,47.4,4.3,md,16,,,,us,usp000a6xw,2014-11-07T01:11:47.473Z,"offshore Coquimbo, Chile",earthquake,,,,,reviewed,guc,guc
2000-12-30T11:47:19.920Z,51.525,159.333,47.9,4.8,mb,63,,,1.21,us,usp000a6xq,2014-11-07T01:11:47.457Z,"off the east coast of the Kamchatka Peninsula, Russia",earthquake,,,,20,reviewed,us,us
2000-12-30T10:44:13.350Z,-6.967,129.69,133.1,5.2,mwc,76,,,0.8,us,usp000a6xk,2016-11-10T00:19:27.134Z,"Banda Sea",earthquake,,3.8,,,reviewed,us,hrv
2000-12-30T09:43:28.230Z,21.862,122.994,33,4.6,mb,20,,,1.38,us,usp000a6xh,2014-11-07T01:11:47.441Z,"Taiwan region",earthquake,,,,11,reviewed,us,us
2000-12-30T07:42:46.700Z,-12.472,166.934,220.7,5.5,mwc,164,,,0.98,us,usp000a6xe,2016-11-10T00:19:26.581Z,"Santa Cruz Islands",earthquake,,,,,reviewed,us,hrv
2000-12-30T06:18:54.440Z,-6.944,150.106,33,4.1,mb,7,,,1.03,us,usp000a6xc,2014-11-07T01:11:47.411Z,"New Britain region, Papua New Guinea",earthquake,,,,2,reviewed,us,us
2000-12-30T02:49:55.800Z,-32.081,-71.334,19.3,4,md,7,,,,us,usp000a6x8,2014-11-07T01:11:47.404Z,"Coquimbo, Chile",earthquake,,,,,reviewed,guc,guc
2000-12-29T23:33:53.070Z,-22.253,-179.672,584,5.4,mwc,162,,,0.8,us,usp000a6x2,2016-11-10T00:19:01.368Z,"south of the Fiji Islands",earthquake,,,,,reviewed,us,hrv
2000-12-29T21:04:11.720Z,-10.339,161.336,33,4,mb,12,,,0.76,us,usp000a6wu,2014-11-07T01:11:47.353Z,"Solomon Islands",earthquake,,,,4,reviewed,us,us
2000-12-29T18:03:31.130Z,24.386,121.858,33,4.9,mb,80,,,1.21,us,usp000a6wm,2014-11-07T01:11:47.337Z,"Taiwan",earthquake,,,,26,reviewed,us,us
2000-12-29T15:43:46.930Z,7.623,-75.233,33,4.1,ml,9,,,0.92,us,usp000a6wb,2014-11-07T01:11:47.319Z,"northern Colombia",earthquake,,,,,reviewed,us,rsnc
2000-12-29T15:21:04.850Z,-5.444,152.576,33,4,mb,8,,,1.53,us,usp000a6w8,2014-11-07T01:11:47.314Z,"New Britain region, Papua New Guinea",earthquake,,,,2,reviewed,us,us
2000-12-29T13:47:38.670Z,1.739,126.444,33,5.1,mwc,48,,,0.98,us,usp000a6w5,2016-11-10T00:19:00.693Z,"Molucca Sea",earthquake,,,,,reviewed,us,hrv
2000-12-29T13:21:19.780Z,-4.314,152.896,33,4.3,mb,18,,,1.17,us,usp000a6w4,2014-11-07T01:11:47.301Z,"New Britain region, Papua New Guinea",earthquake,,,,2,reviewed,us,us
2000-12-29T12:35:45.410Z,37.653,69.612,62.8,4.3,mb,17,,,1.01,us,usp000a6w3,2014-11-07T01:11:47.299Z,"Tajikistan",earthquake,,15.9,,3,reviewed,us,us
2000-12-29T12:11:00.900Z,1.404,127.049,33,4.7,mb,19,,,1.09,us,usp000a6w1,2014-11-07T01:11:47.295Z,"Halmahera, Indonesia",earthquake,,,,7,reviewed,us,us
2000-12-29T12:02:49.360Z,-5.593,153.289,33,4.2,mb,15,,,1.4,us,usp000a6vz,2014-11-07T01:11:47.292Z,"New Ireland region, Papua New Guinea",earthquake,,,,3,reviewed,us,us
2000-12-29T10:44:12.300Z,-16.625,-172.701,33,4.6,mb,18,,,1.09,us,usp000a6vx,2014-11-07T01:11:47.287Z,"Samoa Islands region",earthquake,,,,6,reviewed,us,us
2000-12-29T10:43:00.140Z,-4.243,152.742,33,5.3,mwc,98,,,0.93,us,usp000a6vw,2016-11-10T00:18:59.977Z,"New Britain region, Papua New Guinea",earthquake,,,,,reviewed,us,hrv
2000-12-29T08:45:59.200Z,9.699,-84.112,57.6,4.2,md,20,,,,us,usp000a6vu,2014-11-07T01:11:47.274Z,"Costa Rica",earthquake,,,,,reviewed,casc,casc
2000-12-29T07:53:44.400Z,-42.74,172.42,33,4.3,ml,11,,,,us,usp000a6vs,2014-11-07T01:11:47.264Z,"South Island of New Zealand",earthquake,,,,,reviewed,wel,wel
2000-12-29T05:13:12.000Z,-5.023,153.412,33,4.7,mb,15,,,1.49,us,usp000a6vq,2014-11-07T01:11:47.260Z,"New Ireland region, Papua New Guinea",earthquake,,,,5,reviewed,us,us
2000-12-29T04:08:22.110Z,39.364,53.891,33,4.2,mb,22,,,1.05,us,usp000a6vp,2014-11-07T01:11:47.258Z,"Turkmenistan",earthquake,,,,5,reviewed,us,us
2000-12-29T01:48:08.300Z,-30.022,-71.617,23.1,4,mb,30,,,,us,usp000a6vh,2014-11-07T01:11:47.239Z,"offshore Coquimbo, Chile",earthquake,,,,1,reviewed,guc,us
2000-12-29T01:34:11.380Z,-3.465,101.639,33,4.5,mb,18,,,0.51,us,usp000a6vg,2014-11-07T01:11:47.237Z,"southern Sumatra, Indonesia",earthquake,,,,4,reviewed,us,us
2000-12-29T01:30:05.300Z,-42.74,172.32,33,4.7,ml,17,,,,us,usp000a6vf,2014-11-07T01:11:47.235Z,"South Island of New Zealand",earthquake,,,,,reviewed,wel,wel
2000-12-29T00:42:55.770Z,-0.521,119.947,33,4.5,mb,13,,,1.03,us,usp000a6vd,2014-11-07T01:11:47.232Z,"Minahasa, Sulawesi, Indonesia",earthquake,,,,7,reviewed,us,us
2000-12-28T23:42:01.590Z,-21.109,-179.194,650.7,4.5,mb,65,,,1.1,us,usp000a6va,2014-11-07T01:11:47.219Z,"Fiji region",earthquake,,,,22,reviewed,us,us
2000-12-28T22:09:36.050Z,-5.558,151.05,83.1,4.5,mb,10,,,0.71,us,usp000a6v5,2014-11-07T01:11:47.207Z,"New Britain region, Papua New Guinea",earthquake,,10.6,,1,reviewed,us,us
2000-12-28T22:00:51.160Z,-5.71,154.41,93.8,5.1,mwc,74,,,0.87,us,usp000a6v4,2016-11-10T00:18:23.918Z,"Bougainville region, Papua New Guinea",earthquake,,,,,reviewed,us,hrv
2000-12-28T21:27:05.400Z,28.16,51.349,71.4,4.4,mb,34,,,0.85,us,usp000a6v3,2014-11-07T01:11:47.073Z,"southern Iran",earthquake,,14,,12,reviewed,us,us
2000-12-28T21:06:54.110Z,-0.46,119.917,33,5.4,mwc,46,,,0.87,us,usp000a6v2,2016-11-10T00:18:23.262Z,"Minahasa, Sulawesi, Indonesia",earthquake,,,,,reviewed,us,hrv
2000-12-28T19:33:57.780Z,27.527,-111.941,10,4.1,mb,16,,,1.36,us,usp000a6uz,2014-11-07T01:11:47.035Z,"Gulf of California",earthquake,,,,3,reviewed,us,us
2000-12-28T18:54:36.660Z,-4.864,102.599,33,5.4,mwc,79,,,0.91,us,usp000a6ux,2016-11-10T00:18:22.641Z,"southern Sumatra, Indonesia",earthquake,,,,,reviewed,us,hrv
2000-12-28T18:35:20.070Z,-8.163,117.91,33,4.7,mb,19,,,1.03,us,usp000a6uv,2014-11-07T01:11:47.015Z,"Sumbawa region, Indonesia",earthquake,,,,10,reviewed,us,us
2000-12-28T18:12:33.160Z,-22.438,-175.11,33,5.4,mwc,97,,,1.06,us,usp000a6uu,2016-11-10T00:18:22.081Z,"Tonga region",earthquake,,,,,reviewed,us,hrv
2000-12-28T16:05:26.880Z,-8.138,117.94,33,5.2,mb,51,,,1.25,us,usp000a6ur,2014-11-07T01:11:46.987Z,"Sumbawa region, Indonesia",earthquake,,,,18,reviewed,us,us
2000-12-28T13:24:46.970Z,12.554,-87.675,33,4.1,mb,16,,,1.08,us,usp000a6um,2014-11-07T01:11:46.981Z,"near the coast of Nicaragua",earthquake,,,,4,reviewed,us,us
2000-12-28T13:20:06.650Z,18.968,144.731,33,4.6,mb,25,,,1.27,us,usp000a6uk,2014-11-07T01:11:46.977Z,"Pagan region, Northern Mariana Islands",earthquake,,,,8,reviewed,us,us
2000-12-28T10:30:58.810Z,30.666,96.667,33,4,mb,8,,,1.22,us,usp000a6ud,2014-11-07T01:11:46.962Z,"eastern Xizang",earthquake,,,,3,reviewed,us,us
2000-12-28T10:00:02.870Z,36.849,20.197,33,4.1,mb,58,,,1.19,us,usp000a6ub,2014-11-07T01:11:46.949Z,"central Mediterranean Sea",earthquake,,,,2,reviewed,us,us
2000-12-28T09:01:28.580Z,23.424,122.041,33,4.7,mb,42,,,1.31,us,usp000a6ua,2014-11-07T01:11:46.944Z,"Taiwan region",earthquake,,,,16,reviewed,us,us
2000-12-28T07:54:47.320Z,43.175,147.77,68.4,4.4,mb,26,,,1.28,us,usp000a6u6,2014-11-07T01:11:46.935Z,"Kuril Islands",earthquake,,15.8,,7,reviewed,us,us
2000-12-28T07:17:56.930Z,-8.836,123.936,150,4.7,mb,23,,,0.95,us,usp000a6u5,2014-11-07T01:11:46.932Z,"Flores region, Indonesia",earthquake,,,,9,reviewed,us,us
2000-12-28T05:24:53.430Z,34.2,139.108,33,4.6,mb,18,,,1.19,us,usp000a6u1,2014-11-07T01:11:46.925Z,"near the south coast of Honshu, Japan",earthquake,,,,1,reviewed,us,us
2000-12-28T04:34:28.450Z,-4.05,152.307,33,6.2,mwc,170,,,0.98,us,usp000a6ty,2020-09-18T18:02:41.014Z,"New Britain region, Papua New Guinea",earthquake,,,,,reviewed,us,hrv
2000-12-28T04:25:12.150Z,34.045,139.16,33,4,mb,11,,,1,us,usp000a6tx,2014-11-07T01:11:46.898Z,"near the south coast of Honshu, Japan",earthquake,,,,2,reviewed,us,us
2000-12-28T01:47:27.420Z,12.149,-87.954,59.1,4.8,mb,53,,,1.12,us,usp000a6tt,2014-11-07T01:11:46.887Z,"near the coast of Nicaragua",earthquake,,14.6,,17,reviewed,us,us
2000-12-27T17:43:20.810Z,-5.245,151.737,45.5,4.3,mb,24,,,1.15,us,usp000a6td,2014-11-07T01:11:46.858Z,"New Britain region, Papua New Guinea",earthquake,,,,5,reviewed,us,us
