time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1919-12-20T20:37:34.000Z,22.514,121.787,20,6.9,mw,,,,,iscgem,iscgem913021,2020-07-10T13:12:04.980Z,"Taiwan region",earthquake,,,,,automatic,iscgem,iscgem
1919-12-19T13:58:13.000Z,38.3,-119.5,,5.2,ml,,,,,ushis,ushis655,2018-06-04T20:43:44.000Z,"Central California",earthquake,,,,,reviewed,ushis,sjg
1919-11-25T11:03:00.000Z,37.08,-121.83,,4.5,ml,,,,,ushis,ushis653,2018-06-04T20:43:44.000Z,"Northern California",earthquake,,,,,reviewed,ushis,cdmg
1919-11-18T21:54:54.000Z,39.498,26.53,10,6.5,mw,,,,,iscgem,iscgem913005,2020-07-10T13:11:39.915Z,"near the coast of western Turkey",earthquake,,,,,automatic,iscgem,iscgem
1919-10-12T21:48:31.000Z,-4.179,101.752,25,6.5,mw,,,,,iscgem,iscgem912979,2020-07-10T13:11:28.618Z,"southern Sumatra, Indonesia",earthquake,,,,,automatic,iscgem,iscgem
1919-09-26T19:39:43.000Z,6.85,124.098,35,6.6,mw,,,,,iscgem,iscgem912961,2020-07-10T13:11:13.629Z,"Mindanao, Philippines",earthquake,,,,,automatic,iscgem,iscgem
1919-09-15T03:50:00.000Z,19,-155.5,,6.1,fa,,,,,ushis,ushis651,2018-06-04T20:43:44.000Z,"Hawaii region, Hawaii",earthquake,,,,,reviewed,ushis,wy
1919-09-01T19:12:33.000Z,-62.887,-116.661,10,6.3,mw,,,,,iscgemsup,iscgemsup912915,2015-07-13T17:02:22.000Z,"southern Pacific Ocean",earthquake,,,,,automatic,iscgem,iscgem
1919-08-31T17:20:35.000Z,-15.368,167.194,35,6.8,mw,,,,,iscgem,iscgem912912,2020-07-10T13:10:58.062Z,"Vanuatu",earthquake,,,,,automatic,iscgem,iscgem
1919-08-29T05:44:03.000Z,-3.019,127.383,15,6.9,mw,,,,,iscgem,iscgem912906,2020-07-10T13:10:43.906Z,"Seram, Indonesia",earthquake,,,,,automatic,iscgem,iscgem
1919-07-24T02:03:33.000Z,39.071,75.441,20,6.5,mw,,,,,iscgem,iscgem912862,2020-07-10T13:10:23.956Z,"southern Xinjiang, China",earthquake,,,,,automatic,iscgem,iscgem
1919-07-08T21:06:14.000Z,-8.174,31.566,15,7.2,mw,,,,,iscgem,iscgem912837,2020-07-10T13:10:01.244Z,"Lake Tanganyika region, Tanzania-Zambia",earthquake,,,,,automatic,iscgem,iscgem
1919-06-30T07:26:30.000Z,5.589,36.724,15,6.5,mw,,,,,iscgemsup,iscgemsup912825,2020-07-10T14:08:57.636Z,"Ethiopia",earthquake,,,,,automatic,iscgem,iscgem
