time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1972-12-29T04:51:01.000Z,-30.578,-71.151,45,6.1,mw,,,,,iscgem,iscgem766799,2020-07-09T22:30:37.884Z,"Coquimbo, Chile",earthquake,,,,,automatic,iscgem,iscgem
1972-12-28T18:23:58.000Z,-55.494,-28.205,35,5.7,mw,,,,,iscgemsup,iscgemsup766781,2015-07-13T17:02:24.000Z,"South Sandwich Islands region",earthquake,,,,,automatic,iscgem,iscgem
1972-12-28T16:57:47.000Z,34.732,70.396,64.1,5.6,mw,,,,,iscgem,iscgem766778,2020-07-09T22:30:21.300Z,"Hindu Kush region, Afghanistan",earthquake,,,,,automatic,iscgem,iscgem
1972-12-28T05:54:09.000Z,5.648,127.135,44.5,6,mw,,,,,iscgem,iscgem766762,2015-05-13T18:53:07.000Z,"Philippine Islands region",earthquake,,,,,automatic,iscgem,iscgem
1972-12-28T02:40:52.000Z,-21.569,169.912,15,6,mw,,,,,iscgem,iscgem766756,2015-05-13T18:53:07.000Z,"southeast of the Loyalty Islands",earthquake,,,,,automatic,iscgem,iscgem
1972-12-26T22:03:43.000Z,51.633,-176.308,52.9,5.5,mw,,,,,iscgem,iscgem766720,2019-05-21T20:39:55.911Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,,automatic,iscgem,iscgem
1972-12-25T18:55:59.000Z,52.927,159.39,57.4,5.7,mw,,,,,iscgem,iscgem766673,2020-07-09T22:30:06.524Z,"off the east coast of the Kamchatka Peninsula, Russia",earthquake,,,,,automatic,iscgem,iscgem
1972-12-25T03:32:45.000Z,-14.593,167.793,15,5.8,mw,,,,,iscgem,iscgem766644,2015-05-13T18:53:07.000Z,"Vanuatu",earthquake,,,,,automatic,iscgem,iscgem
1972-12-24T20:43:06.250Z,19.5693333,-155.9618333,35.07,4.64,ml,28,214,,0.07,hv,hv19723130,2020-03-31T16:29:21.170Z,"Hawaii region, Hawaii",earthquake,1.06,2.33,0.17,2,reviewed,hv,hv
1972-12-23T19:04:51.900Z,19.5793333,-155.9638333,34.49,5.15,ml,30,184,,0.09,hv,hv19723118,2020-05-23T02:47:18.122Z,"Hawaii region, Hawaii",earthquake,1,1.91,0.31,5,reviewed,hv,hv
