time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1971-12-31T22:37:27.000Z,6.125,123.288,625,5.7,mw,,,,,iscgem,iscgem778212,2015-05-13T18:53:06.000Z,"Moro Gulf, Mindanao, Philippines",earthquake,,,,,automatic,iscgem,iscgem
1971-12-30T15:39:39.000Z,-4.789,151.804,111.3,6,mw,,,,,iscgem,iscgem778182,2020-07-09T23:07:56.486Z,"New Britain region, Papua New Guinea",earthquake,,,,,automatic,iscgem,iscgem
1971-12-29T22:27:07.000Z,25.206,94.708,62.3,5.7,mw,,,,,iscgem,iscgem778161,2020-07-09T23:07:45.615Z,"Myanmar-India border region",earthquake,,,,,automatic,iscgem,iscgem
1971-12-29T11:38:43.090Z,19.2435,-155.3581667,6.322,4.51,ml,26,155,,0.12,hv,hv19716784,2020-03-31T17:05:55.690Z,"Hawaii region, Hawaii",earthquake,0.57,0.75,0.14,4,reviewed,hv,hv
1971-12-29T10:42:03.160Z,19.2505,-155.3688333,5.982,4.35,ml,27,149,,0.11,hv,hv19716774,2020-03-31T17:05:51.570Z,"Hawaii region, Hawaii",earthquake,0.56,0.79,,4,reviewed,hv,hv
1971-12-29T02:59:12.020Z,19.2423333,-155.3773333,5.822,4.66,ml,27,149,,0.1,hv,hv19716728,2020-03-31T17:05:43.490Z,"Hawaii region, Hawaii",earthquake,0.59,0.8,0.14,4,reviewed,hv,hv
1971-12-28T07:50:00.870Z,47.5748333,-122.2091667,20.623,4.1,md,8,95,,0.09,uw,uw10852348,2016-07-24T23:52:19.940Z,"Seattle-Tacoma urban area, Washington",earthquake,0.561,0.72,0.05,7,reviewed,uw,uw
1971-12-28T03:09:54.940Z,19.2658333,-155.3703333,6.322,4.23,ml,25,141,,0.1,hv,hv19716604,2020-03-31T16:46:44.190Z,"Hawaii region, Hawaii",earthquake,0.53,0.78,0.04,4,reviewed,hv,hv
1971-12-28T01:11:52.460Z,19.2515,-155.3705,3.642,4.87,ml,26,160,,0.13,hv,hv19716583,2020-03-31T16:46:41.160Z,"Hawaii region, Hawaii",earthquake,0.8,2.04,0.18,3,reviewed,hv,hv
1971-12-27T11:00:57.000Z,-19.863,-175.727,220.5,5.9,mw,,,,,iscgem,iscgem778097,2015-05-13T18:53:06.000Z,"Tonga",earthquake,,,,,automatic,iscgem,iscgem
1971-12-27T07:46:46.490Z,19.2356667,-155.3535,8.112,4.08,ml,25,172,,0.11,hv,hv19716479,2020-03-31T16:47:02.620Z,"Hawaii region, Hawaii",earthquake,0.93,0.65,0.22,4,reviewed,hv,hv
1971-12-27T07:31:28.700Z,19.2368333,-155.3588333,8.382,4.15,ml,24,170,,0.07,hv,hv19716475,2020-03-31T16:47:02.020Z,"Hawaii region, Hawaii",earthquake,0.81,0.53,0.08,4,reviewed,hv,hv
1971-12-26T21:24:07.740Z,19.1705,-155.335,4.792,4.92,ml,22,210,,0.11,hv,hv19716410,2020-03-31T16:45:21.880Z,"Hawaii region, Hawaii",earthquake,0.98,0.73,0.04,2,reviewed,hv,hv
1971-12-26T15:50:55.000Z,-6.245,154.889,35,5.8,mw,,,,,iscgem,iscgem778078,2020-07-09T23:07:33.934Z,"Bougainville region, Papua New Guinea",earthquake,,,,,automatic,iscgem,iscgem
1971-12-26T13:19:01.000Z,50.643,-174.989,15,5.6,mw,,,,,iscgem,iscgem778073,2015-05-13T18:53:06.000Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,,automatic,iscgem,iscgem
1971-12-26T11:14:01.970Z,19.2458333,-155.361,6.392,4.25,ml,23,153,,0.12,hv,hv19716325,2020-03-31T16:45:09.470Z,"Hawaii region, Hawaii",earthquake,0.71,1,0.19,3,reviewed,hv,hv
1971-12-25T03:38:12.860Z,19.1976667,-155.3613333,6.902,4.32,ml,28,167,,0.13,hv,hv19716208,2020-03-31T16:46:23.330Z,"Hawaii region, Hawaii",earthquake,0.78,0.62,,5,reviewed,hv,hv
1971-12-25T02:11:13.160Z,19.1621667,-155.3468333,8.232,4.41,ml,26,214,,0.11,hv,hv19716198,2020-03-31T16:46:21.870Z,"Hawaii region, Hawaii",earthquake,1.29,0.65,0.02,4,reviewed,hv,hv
1971-12-24T18:00:57.100Z,18.8,-155.288,11.516,4.23,ml,22,268,,0.09,hv,hv19716173,2020-03-31T16:49:13.720Z,"Hawaii region, Hawaii",earthquake,2.55,1.79,0.13,4,reviewed,hv,hv
1971-12-24T08:02:18.590Z,18.8383333,-155.3086667,12.336,4.28,ml,25,262,,0.1,hv,hv19716140,2020-03-31T16:49:09.080Z,"Hawaii region, Hawaii",earthquake,1.49,1.61,0.09,4,reviewed,hv,hv
1971-12-19T07:50:29.000Z,56.005,162.83,27.5,5.5,mw,,,,,iscgem,iscgem777891,2015-05-13T18:53:06.000Z,"near the east coast of the Kamchatka Peninsula, Russia",earthquake,,,,,automatic,iscgem,iscgem
1971-12-18T21:57:53.000Z,55.602,163.045,27.4,5.8,mw,,,,,iscgem,iscgem777881,2015-05-13T18:53:06.000Z,"off the east coast of the Kamchatka Peninsula, Russia",earthquake,,,,,automatic,iscgem,iscgem
1971-12-17T19:06:08.000Z,55.474,163.657,28.8,6.3,mw,,,,,iscgem,iscgem777847,2015-05-13T18:53:06.000Z,"off the east coast of the Kamchatka Peninsula, Russia",earthquake,,,,,automatic,iscgem,iscgem
1971-12-16T12:25:49.000Z,55.804,163.453,27.5,5.6,mw,,,,,iscgem,iscgem777807,2015-05-13T18:53:06.000Z,"off the east coast of the Kamchatka Peninsula, Russia",earthquake,,,,,automatic,iscgem,iscgem
1971-12-15T09:22:37.000Z,55.838,163.664,27.5,5.6,mw,,,,,iscgem,iscgem777758,2015-05-13T18:53:06.000Z,"off the east coast of the Kamchatka Peninsula, Russia",earthquake,,,,,automatic,iscgem,iscgem
1971-12-15T08:29:57.000Z,55.959,163.269,27.5,7.6,mw,,,,,iscgem,iscgem777750,2020-07-09T23:07:15.224Z,"off the east coast of the Kamchatka Peninsula, Russia",earthquake,,,,,automatic,iscgem,iscgem
1971-12-14T21:09:59.370Z,37.1238333,-116.0896667,0.3,4.16,ml,13,277,,0.6,ci,ci3321782,2016-01-29T01:15:30.280Z,"64km ENE of Beatty, NV",nuclear explosion,99,31.61,0.134,11,reviewed,ci,ci
1971-12-11T07:25:19.000Z,-6.151,154.577,55,6.5,mw,,,,,iscgem,iscgem777661,2020-07-09T23:06:57.428Z,"Bougainville region, Papua New Guinea",earthquake,,,,,automatic,iscgem,iscgem
1971-12-11T03:29:59.000Z,1.761,127.32,115,5.6,mw,,,,,iscgem,iscgem777656,2020-07-09T23:06:46.256Z,"Halmahera, Indonesia",earthquake,,,,,automatic,iscgem,iscgem
1971-12-09T15:01:01.000Z,-21.648,173.42,45,6,mw,,,,,iscgem,iscgem777617,2015-05-13T18:53:06.000Z,"Vanuatu region",earthquake,,,,,automatic,iscgem,iscgem
1971-12-09T12:15:57.460Z,19.3223333,-155.1035,8.068,4.34,ml,27,155,,0.09,hv,hv19715787,2020-03-31T16:45:38.450Z,"Hawaii region, Hawaii",earthquake,0.74,0.55,0.16,2,reviewed,hv,hv
1971-12-09T12:03:02.290Z,19.3891667,-155.4106667,6.64,4,ml,19,161,,0.1,hv,hv19715786,2020-03-31T16:45:38.300Z,"Hawaii region, Hawaii",earthquake,0.8,1.32,0.1,1,reviewed,hv,hv
1971-12-09T01:42:33.000Z,27.275,56.441,15,5.8,mw,,,,,iscgem,iscgem777603,2020-07-09T23:06:33.180Z,"southern Iran",earthquake,,,,,automatic,iscgem,iscgem
1971-12-08T17:18:56.000Z,37.615,-115.288,8,4.8,mb,,,,,ushis,ushis3176,2018-06-04T20:43:45.000Z,"Nevada",earthquake,,,,,reviewed,ushis,us
1971-12-08T16:05:28.000Z,-22.805,-70.371,30,6.1,mw,,,,,iscgem,iscgem777588,2020-07-09T23:06:22.231Z,"near the coast of Antofagasta, Chile",earthquake,,,,,automatic,iscgem,iscgem
1971-12-08T08:38:23.000Z,49.125,-128.817,15,5.6,mw,,,,,iscgem,iscgem777577,2015-05-13T18:53:06.000Z,"Vancouver Island, Canada region",earthquake,,,,,automatic,iscgem,iscgem
1971-12-07T12:04:19.000Z,55.048,-54.437,20,5.5,mw,,,,,iscgem,iscgem777559,2015-05-13T18:53:06.000Z,"Labrador Sea",earthquake,,,,,automatic,iscgem,iscgem
1971-12-07T06:23:12.000Z,3.74,127.991,55.5,5.8,mw,,,,,iscgem,iscgem777551,2015-05-13T18:53:06.000Z,"Kepulauan Talaud, Indonesia",earthquake,,,,,automatic,iscgem,iscgem
1971-12-07T03:26:19.000Z,-54.438,5.837,15,6.2,mw,,,,,iscgem,iscgem777545,2015-05-13T18:53:06.000Z,"Bouvet Island region",earthquake,,,,,automatic,iscgem,iscgem
1971-12-05T05:50:08.000Z,49.452,-129.853,10,6,mw,,,,,iscgem,iscgem777492,2015-05-13T18:53:06.000Z,"Vancouver Island, Canada region",earthquake,,,,,automatic,iscgem,iscgem
1971-12-04T15:55:46.000Z,7.942,126.59,55,5.5,mw,,,,,iscgem,iscgem777470,2020-07-09T23:06:09.057Z,"Mindanao, Philippines",earthquake,,,,,automatic,iscgem,iscgem
1971-12-04T02:25:53.000Z,-6.12,154.597,82.9,6.3,mw,,,,,iscgemsup,iscgemsup777457,2020-07-10T13:36:30.161Z,"Bougainville region, Papua New Guinea",earthquake,,,,,automatic,iscgem,iscgem
1971-12-02T17:18:22.000Z,44.889,153.314,20,6.6,mw,,,,,iscgem,iscgem777414,2015-05-13T18:53:06.000Z,"east of the Kuril Islands",earthquake,,,,,automatic,iscgem,iscgem
1971-11-30T15:45:02.240Z,37.05,-116.14,0.01,4.05,ml,11,282,,0.6,ci,ci3321744,2016-01-29T01:20:21.320Z,"57km ENE of Beatty, NV",nuclear explosion,99,31.61,0.279,11,reviewed,ci,ci
1971-11-30T04:22:04.370Z,31.7681667,-115.4853333,6,4.48,ml,7,290,,0.61,ci,ci3321740,2016-01-29T01:25:25.930Z,"59km SSW of Alberto Oviedo Mota, B.C., MX",earthquake,8.45,31.61,0.272,9,reviewed,ci,ci
1971-11-29T20:14:13.000Z,-11.288,-77.715,53,5.8,mw,,,,,iscgem,iscgem778920,2020-07-09T23:10:00.570Z,"near the coast of central Peru",earthquake,,,,,automatic,iscgem,iscgem
1971-11-28T11:12:02.000Z,-29.98,-69.428,110,5.9,mw,,,,,iscgem,iscgem778892,2020-07-09T23:09:48.613Z,"San Juan, Argentina",earthquake,,,,,automatic,iscgem,iscgem
1971-11-27T13:45:12.000Z,29.203,130.293,53.6,5.6,mw,,,,,iscgem,iscgem778871,2015-05-13T18:53:06.000Z,"Ryukyu Islands, Japan",earthquake,,,,,automatic,iscgem,iscgem
1971-11-24T20:15:01.260Z,36.8791667,-115.9346667,0.3,4.3,ml,9,249,,1.07,ci,ci3321733,2016-01-29T01:10:17.460Z,"73km E of Beatty, NV",nuclear explosion,99,31.61,0.155,8,reviewed,ci,ci
1971-11-24T19:35:33.000Z,52.803,159.199,125,7.3,mw,,,,,iscgem,iscgem778805,2020-07-09T23:09:22.828Z,"off the east coast of the Kamchatka Peninsula, Russia",earthquake,,,,,automatic,iscgem,iscgem
1971-11-24T00:58:07.000Z,46.598,152.641,50,5.5,mw,,,,,iscgem,iscgem778764,2015-05-13T18:53:06.000Z,"Kuril Islands",earthquake,,,,,automatic,iscgem,iscgem
1971-11-23T02:12:17.860Z,48.1663333,-121.4268333,24.294,4.1,md,6,293,0.7521,0.17,uw,uw10852038,2016-07-24T23:48:33.860Z,"Washington",earthquake,1.951,2.31,0.06,6,reviewed,uw,uw
1971-11-22T08:19:57.000Z,0.105,123.995,103.3,6,mw,,,,,iscgemsup,iscgemsup778732,2020-07-10T13:36:46.148Z,"Minahasa, Sulawesi, Indonesia",earthquake,,,,,automatic,iscgem,iscgem
1971-11-22T00:46:13.000Z,52.253,174.231,43.7,6.1,mw,,,,,iscgem,iscgem778718,2019-05-21T00:30:01.463Z,"Near Islands, Aleutian Islands, Alaska",earthquake,,,,,automatic,iscgem,iscgem
1971-11-21T06:20:01.000Z,-11.926,166.568,116.6,6.1,mw,,,,,iscgem,iscgem778698,2015-05-13T18:53:06.000Z,"Santa Cruz Islands",earthquake,,,,,automatic,iscgem,iscgem
1971-11-21T05:57:12.000Z,-11.857,166.557,113.1,7.1,mw,,,,,iscgem,iscgem778697,2020-07-09T23:09:08.086Z,"Santa Cruz Islands",earthquake,,,,,automatic,iscgem,iscgem
1971-11-20T21:24:41.000Z,48.714,-129.651,15,5.8,mw,,,,,iscgem,iscgem778692,2015-05-13T18:53:06.000Z,"Vancouver Island, Canada region",earthquake,,,,,automatic,iscgem,iscgem
1971-11-20T13:59:04.300Z,40.3,-124.4,25,4.6,ms,,,,,ushis,ushis3174,2018-06-04T20:43:45.000Z,"offshore Northern California",earthquake,,,,,reviewed,ushis,us
1971-11-20T07:28:00.000Z,-23.449,-179.857,543.1,6.5,mw,,,,,iscgem,iscgem778677,2015-05-13T18:53:06.000Z,"south of the Fiji Islands",earthquake,,,,,automatic,iscgem,iscgem
1971-11-18T07:31:34.000Z,38.404,66.639,29.2,5.6,mw,,,,,iscgem,iscgem778645,2020-07-09T23:08:56.817Z,"eastern Uzbekistan",earthquake,,,,,automatic,iscgem,iscgem
